inicio,varinicio,varfim,pt_v,id,vir,inteiro,real,literal,leia,escreva,lit,num,rcb,opm,se,ab_p,fc_p,entao,opr,fimse,repita,fimrepita,fim,$,P,V,A,LV,D,TIPO,L,ES,ARG,CMD,LD,OPRD,COND,CAB,CP,EXP_R,R,CABR,CPR
S2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Acc,,,,,,,,,,,,,,,,,,,
,S4,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
,,,,S9,,,,,S7,S8,,,,,S11,,,,,,S13,,S6,,,,5,,,,,14,,15,,,16,10,,,17,12,
,,S23,,,,S19,S20,S21,,,,,,,,,,,,,,,,,,,,18,22,24,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,R2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,R39,,,,,,,,,,,,,,,,,,,
,,,,S25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S29,,,,,,,S27,S28,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,
,,,,,,,,,,,,,S30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S9,,,,,S7,S8,,,,,S11,,,,,S32,,,,,,,,,,,,33,,34,,,35,10,31,,,,
,,,,,,,,,,,,,,,,S36,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S9,,,,,S7,S8,,,,,S11,,,,,,,S38,,,,,,,,,,39,,40,,,41,10,,,,,37
,,,,,,,,,,,,,,,,S42,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S9,,,,,S7,S8,,,,,S11,,,,,,S13,,S6,,,,74,,,,,14,,15,,,16,10,,,17,12,
,,,,S9,,,,,S7,S8,,,,,S11,,,,,,S13,,S6,,,,75,,,,,14,,15,,,16,10,,,17,12,
,,,,S9,,,,,S7,S8,,,,,S11,,,,,,S13,,S6,,,,76,,,,,14,,15,,,16,10,,,17,12,
,,,,S9,,,,,S7,S8,,,,,S11,,,,,,S13,,S6,,,,77,,,,,14,,15,,,16,10,,,17,12,
,,,,R3,,,,,R3,R3,,,,,R3,,,,,,R3,,R3,,,,,,,,,,,,,,,,,,,,
,,,,R9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,R10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,R11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S23,,,,S19,S20,S21,,,,,,,,,,,,,,,,,,,,43,22,24,,,,,,,,,,,,,
,,,S44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,S46,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,
,,,S47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,S48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
